id,bh_mass_lg_mass,AGN_0_edd_ratio,flux_perfect,mu avg.,mu sd,var avg.,var sd.
0,8.303862051,0.024933133,395296.0155,0.99786818,0.035286218,1.002369881,0.000291587
1,8.734981264,0.012717473,153577.2551,0.996035039,0.032808222,1.000536442,5.18E-05
2,7.907793764,0.022691413,45988.11386,0.99516058,0.089751229,1.003590465,0.000915681
3,7.495679126,0.022993852,28471.47384,0.992282033,0.079255283,1.004352808,0.000946334
4,7.473324726,0.019286988,23660.89715,0.991626322,0.112570181,1.00470686,0.001295855
5,8.49202856,0.021112576,564250.1065,0.995701492,0.044772562,1.00115037,0.000281538
6,8.633137527,0.035178364,41705.96222,0.99586606,0.029731957,1.000601292,8.19E-05
7,7.21055616,0.039275039,13997.63236,0.999948263,0.021545354,1.002152562,0.000124264
8,7.133117714,0.020094711,2908.551173,0.993084311,0.107147135,1.005376101,0.001446916
9,8.188867328,0.024161295,140908.2098,0.994214892,0.057135854,1.001482964,0.000442585
10,7.292346488,0.079372011,24798.2619,0.99739641,0.044758398,1.002877712,0.000436207
11,8.649328381,0.011849294,606787.3389,0.995519876,0.045344017,1.000795722,0.000148024
12,7.620669348,0.011806347,2233.318734,0.992758512,0.107579343,1.004433036,0.001273854
13,7.287743866,0.011334294,8135.94787,0.990048468,0.130692884,1.005249143,0.001574138
14,8.841940945,0.027118747,1262745.138,0.996447682,0.026598306,1.000506282,4.14E-05
15,7.331063445,0.017954603,6773.67398,0.993383467,0.097433649,1.004766822,0.001133824
16,7.569440165,0.036277983,26576.0645,0.993829668,0.090601742,1.004037499,0.001085735
17,7.30722679,0.027907402,1695.578297,0.994568229,0.169513136,1.002704144,0.00148115
18,7.230980127,0.0158914,9513.592802,0.991812229,0.127781346,1.005366802,0.001395341
19,7.042296033,0.061625737,10505.06268,0.996750891,0.060796458,1.003680229,0.0006936
20,7.110790818,0.035037045,9881.762643,0.995463729,0.055487193,1.003825903,0.000641615
21,7.349282942,0.01456156,9917.378617,0.992883742,0.111512594,1.005448699,0.001415193
22,7.106763865,0.01659226,6899.926594,0.992652714,0.119895369,1.005111575,0.001446117
23,8.182287632,0.015471217,178640.5103,0.994555414,0.069999233,1.00303638,0.000677658
24,8.361429054,0.012481986,241935.1583,0.993641734,0.054346438,1.00092113,0.000200162
25,7.787260914,0.012315172,42510.24646,0.99556154,0.064594343,1.003531337,0.000733273
26,7.635982194,0.083228648,89677.6212,0.996577859,0.065447584,1.003166556,0.000747797
27,8.009052474,0.018478837,70921.61854,0.99494952,0.069620013,1.003130317,0.000776676
28,8.750009884,0.017053216,601220.6374,0.996186733,0.044228114,1.00059545,6.36E-05
29,8.702263254,0.032040136,1211098.256,0.995910823,0.024728948,1.000490665,3.10E-05
30,7.086950124,0.022223406,6517.713207,0.99325031,0.108229659,1.004835606,0.001391756
31,7.362996819,0.083239131,46011.56568,0.994238257,0.071580492,1.003814816,0.000825386
32,7.473489742,0.036947541,25020.32767,0.997799993,0.059519138,1.003784657,0.0006513
33,7.498775152,0.019693059,23468.32347,0.99297893,0.096576445,1.00453949,0.001115719
34,8.142465303,0.016883374,174111.7565,0.993559897,0.052205063,1.000825047,0.000178722
35,7.832524851,0.219765261,341505.3961,0.997650564,0.02069648,1.001668334,0.000134893
36,7.09850824,0.031089719,8104.325773,0.993047774,0.106584489,1.006004333,0.001361742
37,7.747228277,0.098854304,170979.7467,0.997265935,0.060989138,1.00312078,0.000638306
38,8.047505897,0.011828785,61559.83235,0.99535054,0.118092149,1.002375245,0.001416183
39,7.203343806,0.047834215,12739.3651,0.994135022,0.090368547,1.004946232,0.001005034
40,8.666917108,0.025981478,533496.2431,0.995914876,0.028454877,1.000606179,7.00E-05
41,7.103923733,0.011885116,2785.274933,0.991512537,0.131343827,1.006186366,0.001795573
42,8.849683738,0.023660254,971312.589,0.996370733,0.04909043,1.000666618,0.000104059
43,7.198226283,0.028844335,12179.77739,0.993733764,0.10180486,1.004711032,0.001250357
44,8.687149903,0.010181348,204801.4243,0.995886922,0.028515913,1.000551462,2.84E-05
45,8.805306288,0.018944315,931512.835,0.996873438,0.035639934,1.000535488,2.87E-05
46,8.959141361,0.043134824,3161689.566,0.996985018,0.031114927,1.000507712,3.78E-05
47,8.604051761,0.015067576,355265.781,0.996710837,0.094226837,1.001834512,0.001024903
48,8.558955082,0.019067383,562826.0057,0.995114923,0.053866081,1.000866413,0.000206895
49,8.284966552,0.018602068,199469.8403,0.993515313,0.050697975,1.000865221,0.000194505
50,8.557992709,0.015205019,226481.6308,0.995374203,0.049977757,1.000640988,8.91E-05
51,7.269104417,0.071094189,5892.618913,0.995030403,0.066309214,1.00351429,0.000664182
52,8.072136072,0.037061479,31760.80196,0.995113254,0.030625768,1.000667095,5.02E-05
53,8.02844574,0.011700477,64938.02608,0.994098008,0.082043439,1.003794909,0.000991873
54,8.715144288,0.484438801,7406315.905,0.999524951,0.007914277,1.0008322,1.91E-05
55,7.925598731,0.055042219,66580.93106,0.997748077,0.034126133,1.001121044,0.00012948
56,7.770178992,0.014831592,44888.53332,0.994957328,0.084454991,1.004050016,0.001119142
57,8.279126542,0.045139735,135385.3122,0.995593667,0.062971592,1.002812386,0.000565613
58,7.532926635,0.011633114,14343.72264,0.994188309,0.103654996,1.005217671,0.001367331
59,7.279536822,0.731579997,179293.582,1.000280738,0.032806378,1.002524614,0.00026907
60,7.955754548,0.027574312,147624.9964,0.998108625,0.039128419,1.002704144,0.00036962
61,7.833778737,0.026683425,23756.36248,0.996897876,0.057633553,1.003183603,0.000578139
62,7.465139881,0.011377572,15928.84346,0.993894756,0.113827579,1.006109953,0.001492138
